time = 2020-11-17 09:03:00 cash in hand = 738.02, portfolio value = 1613.41, unrealized PNL = 111.99 realized PNL = -638.62, holding = 1.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -44.244573273188905 and [call,puts] values are = [32. 23.] and max call price = 31.75 compared to 31.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 280
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.02778620775032 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 3440
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.95926745410477 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1716
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.86683919693371 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1853
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.78399703968535 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1981
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.48228161241234 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2494
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.54039407545577 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2389
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -24.304549265936714 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2753
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 20.065946794381706 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 0
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 17.681215988603466 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 160
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 23.757576191416565 and [call,puts] values are = [32. 23.] and max call price = 29.0 compared to 29.0 and max put price = 22.25 compared to 22.25and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.25 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 573
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 26.303369491265478 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.5 compared to 22.5and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.5 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1162
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 20.065946794381706 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.5 compared to 22.5and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.5 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 914
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 20.065946794381706 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 924
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 3.95632857087611 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1019
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 3.2100292267401938 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1064
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -7.94062323476121 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.5 compared to 22.5and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.5 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1737
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 26.220127758206374 and [call,puts] values are = [32. 23.] and max call price = 29.0 compared to 29.0 and max put price = 22.5 compared to 22.5and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.5 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1139
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 26.477103289231845 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.5 compared to 22.5and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.5 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1211
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 20.065946794381706 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1337
time = 2020-11-17 09:04:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = 20.065946794381706 and [call,puts] values are = [32. 23.] and max call price = 28.75 compared to 28.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.431215902412987 and RSI = 61.24458521148159 and slop[-1] =-24.304549265936714 and self.submitted = 0 and upper BBand = 3606.8656912131046 and lower BBand = 3606.0663859643973 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 2753, and df["volume"] = 1582
